,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-08-13 09:30:25.500,-1.82231,1.4152,-0.325231,8.8644099777,395.57,5.71157
2018-08-13 09:30:25.600,-1.83966,1.35194,-0.309416,9.04706314949,395.661,5.72982
2018-08-13 09:30:25.700,-2.16005,1.52744,-0.221412,9.10404963221,395.594,5.74052
2018-08-13 09:30:25.800,-2.30391,1.46418,-0.157897,9.31863857949,395.53,5.73982
2018-08-13 09:30:25.900,-2.3182,1.46622,-0.141316,9.13086879131,395.456,5.78382
2018-08-13 09:30:26.000,-2.03148,1.44479,-0.153815,9.31863857949,395.447,5.85145
2018-08-13 09:30:26.100,-1.87333,1.33766,-0.217586,9.02359979943,395.221,5.85563
2018-08-13 09:30:26.200,-1.9519,1.39888,-0.305335,9.4762792667,395.42,5.88046
2018-08-13 09:30:26.300,-1.82334,1.43255,-0.209423,9.37229855719,395.385,5.88308
2018-08-13 09:30:26.400,-1.82538,1.28766,-0.165294,9.29013378922,395.313,5.91449
2018-08-13 09:30:26.500,-1.76212,1.1744,-0.173712,9.3957764,395.43,5.9393
2018-08-13 09:30:26.600,-1.57029,1.25807,-0.121165,9.3974534261,395.469,5.96754
2018-08-13 09:30:26.700,-1.47336,1.41418,-0.233401,9.63731940048,395.119,6.03304
2018-08-13 09:30:26.800,-1.6662,1.73559,-0.15305,9.66919736423,394.95,6.07882
2018-08-13 09:30:26.900,-1.61723,1.81313,-0.149734,9.79840540144,394.923,6.13422
2018-08-13 09:30:27.000,-1.44071,2.00802,-0.225239,9.42596363125,394.884,6.17642
2018-08-13 09:30:27.100,-1.04176,1.76824,-0.269113,9.37229855719,394.964,6.20042
2018-08-13 09:30:27.200,-1.29378,1.87945,-0.101523,9.47460200669,395.023,6.15865
2018-08-13 09:30:27.300,-1.58458,1.79987,-0.0497412,9.37062160575,395.171,6.07967
2018-08-13 09:30:27.400,-1.48867,2.40595,0.202026,9.24151129011,395.278,6.07341
2018-08-13 09:30:27.500,-1.15298,2.04067,0.114532,9.47963380166,395.358,6.0062
2018-08-13 09:30:27.600,-1.2795,2.18045,-0.141571,8.91802679567,395.418,5.98954
2018-08-13 09:30:27.700,-0.929524,2.27942,-0.0818817,9.10237347707,395.368,5.99016
2018-08-13 09:30:27.800,-0.977479,2.22943,0.131113,9.20965743948,395.489,5.95836
2018-08-13 09:30:27.900,-0.978499,2.2131,-0.0811165,9.18618733079,395.612,5.88988
2018-08-13 09:30:28.000,-1.16828,2.2631,0.0464252,9.18283453774,395.556,5.86223
2018-08-13 09:30:28.100,-1.20195,2.21412,0.00229575,9.3454679313,395.566,5.85892
2018-08-13 09:30:28.200,-1.34378,2.24779,0.0507616,9.26666033604,395.255,5.91567
2018-08-13 09:30:28.300,-1.37541,2.10291,0.0104584,9.5047934484,395.31,5.9583
2018-08-13 09:30:28.400,-1.48969,2.07026,0.0464252,9.37397551362,395.111,5.97545
2018-08-13 09:30:28.500,-1.50703,2.16617,-0.0372422,9.2079809708,395.248,5.99207
